inventory_id,product_id,warehouse_id,stock_quantity,reserved_quantity,available_quantity,reorder_level,inventory_status,last_updated,_dq_issue
INV019426,P000522,W009,263,245,18,61,Low Stock,2025-04-13 21:34:59,
INV003241,P008849,W010,252,74,178,89,In Stock,2025-04-12 11:06:37,
INV012087,P007977,W006,450,88,362,16,In Stock,2026-02-22 15:11:56,
INV011693,P004680,W005,292,98,194,16,Overstocked,2025-12-13 11:17:55,
INV014165,P007291,W008,175,145,30,31,Low Stock,2026-07-26 07:45:55,
INV010204,P001027,W010,357,328,29,61,Low Stock,2025-03-25 00:44:23,
INV007689,P007197,W009,493,285,208,56,In Stock,2025-09-26 00:56:05,
INV003731,P002662,W007,300,182,118,92,In Stock,2026-04-21 14:51:18,
INV008246,P008032,W008,102,59,43,21,In Stock,2025-04-18 11:09:57,
INV017182,P002002,W009,229,59,170,51,In Stock,2026-06-13 15:22:03,
INV000302,P009040,W004,380,300,80,40,In Stock,2025-02-09 10:20:10,
INV011860,P000653,W006,57,34,23,24,Low Stock,2025-12-08 01:12:13,
INV018105,P003994,W008,156,142,14,37,Low Stock,2025-01-10 12:15:23,
INV013381,P006869,W010,312,84,228,97,In Stock,2026-04-11 07:01:41,
INV016436,P000054,W008,351,313,38,58,Low Stock,2025-03-10 00:26:59,
INV002698,P009964,W002,339,260,79,13,In Stock,2026-03-01 13:42:03,
INV012814,,W007,140,17,123,53,In Stock,2025-04-06 20:31:28,missing_product_id
INV002990,P001498,W001,18,8,10,52,Low Stock,2025-01-18 21:45:00,
INV012616,P004781,W001,66,32,34,31,In Stock,2025-02-02 00:42:25,
INV008353,P007866,W006,55,19,36,15,In Stock,2025-12-03 01:12:34,
INV014612,P008750,W002,201,21,180,19,In Stock,2025-07-30 20:51:40,
INV000603,P009028,W009,217,206,11,11,Low Stock,2025-03-24 16:45:12,
INV012335,P009097,W009,477,439,38,32,In Stock,2025-05-19 05:08:35,
INV006297,P009537,W003,21,15,6,10,Low Stock,2026-05-22 09:38:04,
INV000749,P001706,W006,376,98,278,12,In Stock,2026-07-17 15:46:44,
INV016598,P007850,W004,489,198,291,47,In Stock,2026-07-17 16:42:23,
INV003497,P006969,W010,94,70,24,44,Low Stock,2025-12-17 13:45:30,
INV019453,P009529,W008,91,75,16,21,Low Stock,2025-06-13 03:56:54,
INV019393,P004889,W004,37,29,8,20,Low Stock,2025-09-25 23:28:45,
INV009307,P002229,W005,235,146,89,29,In Stock,2026-01-03 22:26:50,
INV015182,P000508,W008,299,189,110,28,In Stock,2025-11-20 16:19:14,
INV017804,,W001,302,219,83,28,In Stock,2026-06-14 21:00:20,missing_product_id
INV004444,P008365,W010,0,0,0,44,Out of Stock,2026-05-18 21:15:12,
INV013311,P006131,W006,449,402,47,20,In Stock,2026-05-17 02:08:52,
INV004213,P009026,W003,401,196,205,80,In Stock,2026-07-05 01:14:30,
INV005871,P002852,W002,83,42,41,37,In Stock,2025-04-17 02:22:45,
INV001855,P003672,W010,303,132,171,35,In Stock,2026-07-20 03:58:59,
INV019913,P009021,W006,424,279,145,19,Overstocked,2025-08-01 12:53:09,
INV009448,P000648,W002,2,2,0,96,Out of Stock,2025-11-12 15:18:51,
INV011214,P001921,W003,450,249,201,16,Overstocked,2025-08-19 10:11:36,
INV003273,P004677,W003,45,1,44,21,In Stock,2025-06-05 17:39:44,
INV013810,P000285,W010,180,167,13,25,Low Stock,2026-04-02 17:34:57,
INV004962,P007374,W006,49,38,11,75,Low Stock,2026-03-28 18:49:08,
INV012337,P008896,W001,414,329,85,80,In Stock,2025-02-16 21:32:27,
INV001676,P005331,W004,169,169,0,17,Out of Stock,2026-01-19 08:32:03,
INV009068,P006906,W010,409,296,113,59,In Stock,2026-07-23 13:07:51,
INV004017,P006488,W002,113,32,81,52,In Stock,2025-08-07 00:23:32,
INV008872,P003106,W002,306,1,305,79,In Stock,2025-03-08 07:48:23,
INV002641,P008617,W009,245,70,175,93,In Stock,2025-05-30 19:00:30,
INV000459,P008870,W004,396,100,296,79,In Stock,2025-04-27 22:45:38,
INV017980,P000786,W007,203,79,124,47,In Stock,2025-01-22 10:27:17,
INV000765,P000587,W007,184,172,12,68,Low Stock,2025-03-22 20:36:33,
INV013470,P000609,W009,428,248,180,25,In Stock,2025-09-17 11:52:57,
INV008276,P007241,W009,0,0,0,63,Out of Stock,2025-05-23 20:35:58,
INV018492,P006694,W006,0,0,0,85,Out of Stock,2025-04-09 05:02:30,
INV006650,P006563,W005,413,50,363,61,In Stock,2026-07-20 20:51:53,
INV004205,P004126,W001,469,468,1,95,Low Stock,2025-01-29 14:21:32,
INV006395,P006412,W008,432,187,245,50,Overstocked,2026-01-15 06:09:19,
INV004793,P009599,W005,22,10,12,88,Low Stock,2025-10-31 00:14:18,
INV011064,P003372,W001,32,15,17,96,Low Stock,2025-02-14 10:58:48,
INV017119,P002609,W010,33,18,15,69,Low Stock,2026-01-29 07:15:42,
INV005412,P004538,W007,255,232,23,72,Low Stock,2026-01-05 19:32:18,
INV009523,P000713,W005,0,0,0,36,Out of Stock,2026-01-14 05:16:00,
INV000189,P008302,W005,337,136,201,13,Overstocked,2025-09-21 22:47:26,
INV010365,P009459,W004,485,287,198,34,In Stock,2025-05-15 20:04:31,
INV010538,P006501,W008,469,265,204,23,In Stock,2025-10-12 21:32:12,
INV005602,P000212,W004,309,309,0,15,Out of Stock,2025-12-16 11:09:29,
INV002831,P001731,W010,429,375,54,21,In Stock,2026-07-14 23:29:19,
INV012564,P006791,W006,76,11,65,41,In Stock,2025-05-29 12:05:13,
INV000107,P000859,W008,484,64,420,91,In Stock,2025-03-21 16:22:20,
INV001809,P005068,W001,141,14,127,83,In Stock,2026-07-12 17:02:24,
INV016452,P007249,W007,22,1,21,47,Low Stock,2026-05-01 13:18:50,
INV015898,P009388,W005,214,10,204,73,In Stock,2025-02-27 10:11:11,
INV001615,P002661,W008,180,139,41,42,Low Stock,2025-07-16 22:16:09,
INV007731,P007460,W009,316,251,65,56,In Stock,2025-06-11 12:13:25,
INV000558,P008742,W010,486,148,338,68,In Stock,2026-02-12 02:15:39,
INV017153,P002864,W005,227,202,25,87,Low Stock,2025-05-18 15:21:55,
INV001865,P008552,W009,134,77,57,88,Low Stock,2026-02-23 18:37:35,
INV007939,P001512,W009,73,70,3,63,Low Stock,2026-05-29 13:54:29,
INV015164,P009351,W006,467,78,389,31,In Stock,2026-02-16 01:39:50,
INV004420,P007083,W009,488,217,271,80,In Stock,2026-05-11 04:38:14,
INV002112,P001045,W003,128,29,99,94,In Stock,2025-12-12 13:36:34,
INV014039,P006152,W010,266,144,122,51,In Stock,2025-06-20 04:30:05,
INV002143,P007407,W009,391,250,141,50,In Stock,2025-05-28 19:10:13,
INV005424,P005060,W002,379,239,140,91,In Stock,2025-10-03 19:49:56,
INV015257,P003143,W006,97,87,10,97,Low Stock,2025-09-04 17:43:37,
INV019260,P000222,W001,7,6,1,69,Low Stock,2025-02-23 02:34:30,
INV018544,P006598,W003,380,365,15,20,Low Stock,2026-01-26 02:56:22,
INV012203,P003479,W010,270,81,189,35,Overstocked,2025-10-22 04:13:36,
INV012955,P004284,W003,366,344,22,84,Low Stock,2025-10-27 12:15:02,
INV014690,P008893,W004,245,213,32,56,Low Stock,2026-01-11 10:28:02,
INV008814,P003497,W009,11,3,8,50,Low Stock,2025-06-18 14:11:23,
INV002421,P006610,W004,129,69,60,85,Low Stock,2026-05-04 10:33:30,
INV007583,P009166,W009,348,241,107,32,In Stock,2025-03-08 09:19:14,
INV009527,P006138,W003,332,276,56,72,Low Stock,2025-03-30 01:42:51,
INV008687,P009016,W004,49,34,15,57,Low Stock,2025-06-30 13:10:02,
INV005281,P006035,W007,334,37,297,72,In Stock,2025-08-12 07:48:22,
INV012243,P005533,W002,327,9,318,71,In Stock,2026-01-01 00:26:35,
INV016175,P001352,W010,342,121,221,34,In Stock,2025-11-02 11:30:52,
INV019777,P003350,W008,460,389,71,25,In Stock,2026-02-10 01:29:36,
INV002095,P001625,W003,379,10,369,65,In Stock,2025-02-03 01:16:50,
INV012995,P001117,W006,484,230,254,49,In Stock,2025-11-22 23:59:34,
INV009772,P006387,W007,455,261,194,25,In Stock,2025-10-13 19:06:10,
INV014181,P000136,W008,204,87,117,47,In Stock,2025-12-09 11:35:53,
INV003000,P000994,W004,292,125,167,87,In Stock,2026-07-03 02:57:46,
INV011265,P007158,W010,323,135,188,11,In Stock,2025-11-17 16:18:37,
INV019013,P005910,W010,63,31,32,25,In Stock,2025-12-07 23:16:28,
INV009153,P001292,W003,244,191,53,11,In Stock,2025-02-08 14:24:42,
INV010630,P002897,W010,23,23,0,29,Out of Stock,2026-06-30 01:20:38,
INV002289,P006237,W003,188,66,122,71,In Stock,2025-05-11 21:50:39,
INV005011,P008599,W004,79,75,4,38,Low Stock,2025-04-20 03:03:26,
INV019678,P009173,W007,197,159,38,76,Low Stock,2025-03-28 22:43:46,
INV006176,P005186,W006,0,0,0,78,Out of Stock,2026-03-27 23:10:25,
INV013909,P002092,W004,280,110,170,16,In Stock,2026-04-28 22:58:40,
INV004800,P001055,W003,174,47,127,70,In Stock,2026-02-16 00:42:36,
INV002612,P002998,W003,65,25,40,87,Low Stock,2026-05-17 02:25:42,
INV013159,P000686,W006,330,173,157,17,In Stock,2025-05-04 07:34:57,
INV013879,P003998,W001,182,122,60,37,In Stock,2025-12-14 18:52:31,
INV012301,P008309,W002,259,226,33,96,Low Stock,2025-02-01 11:40:10,
INV005113,P008473,W001,300,201,99,25,In Stock,2025-05-21 18:17:13,
INV000463,P007220,W008,212,179,33,57,Low Stock,2025-03-07 22:41:44,
INV017252,P003364,W002,268,187,81,25,In Stock,2025-11-08 18:08:00,
INV017657,P007077,W009,365,87,278,69,In Stock,2026-02-27 03:33:51,
INV005906,P008581,W006,404,118,286,79,In Stock,2025-02-27 22:02:33,
INV017836,P003120,W008,150,147,3,59,Low Stock,2026-01-18 02:53:09,
INV012048,P006387,W005,330,289,41,24,In Stock,2025-05-04 15:18:57,
INV001723,P006350,W008,248,154,94,39,In Stock,2025-11-22 07:56:03,
INV001162,P001121,W010,455,278,177,89,In Stock,2026-05-22 10:51:08,
INV008518,P009722,W005,62,0,62,38,In Stock,2025-02-03 18:08:55,
INV004280,P000170,W005,0,0,0,61,Out of Stock,2025-09-09 14:49:26,
INV008922,P004602,W009,250,92,158,52,In Stock,2025-09-06 13:46:38,
INV011972,P002275,W002,-50,60,9,51,Low Stock,2025-12-27 05:47:31,invalid_stock_quantity
INV006494,P001954,W010,404,275,129,59,In Stock,2025-03-06 19:54:04,
INV004542,P008572,W010,391,127,264,95,In Stock,2025-11-14 11:55:01,
INV016341,P006173,W010,84,21,63,48,In Stock,2025-02-09 16:51:08,
INV000350,P009420,W009,408,180,228,31,Overstocked,2026-01-15 06:52:33,
INV014338,P002760,W002,350,302,48,79,Low Stock,2025-09-27 15:23:46,
INV003010,P002447,W002,15,4,11,55,Low Stock,2025-04-16 21:56:32,
INV008668,P002149,W003,498,9,489,17,Overstocked,2025-09-26 03:12:22,
INV017739,P006844,W004,178,123,55,33,In Stock,2025-08-28 05:14:22,
INV000567,P001576,W005,102,77,25,35,Low Stock,2026-02-11 08:09:00,
INV014265,P002145,W010,374,315,59,69,Low Stock,2025-11-30 19:17:03,
INV015424,P004730,W006,435,127,308,22,In Stock,2026-02-24 15:00:43,
INV003134,P001016,W001,360,305,55,17,In Stock,2026-07-30 13:39:26,
INV011157,P000180,W003,49,13,36,74,Low Stock,2025-06-30 11:36:57,
INV018571,P008652,W003,456,332,124,86,In Stock,2025-09-29 20:43:30,
INV009518,P002614,W009,316,254,62,80,Low Stock,2025-06-01 13:34:33,
INV002841,P008946,W002,318,171,147,55,In Stock,2025-10-10 21:35:29,
INV018360,P000507,W010,311,75,236,54,Overstocked,2026-04-15 02:51:22,
INV001744,P000816,W005,253,67,186,21,In Stock,2026-07-23 06:38:29,
INV004770,P007104,W008,471,129,342,97,In Stock,2025-05-20 23:52:30,
INV018400,P006727,W010,409,148,261,79,In Stock,2025-07-13 09:22:32,
INV005495,P005840,W004,292,195,97,53,In Stock,2026-01-21 19:30:04,
INV018925,P008215,W005,64,56,8,98,Low Stock,2025-12-01 16:41:52,
INV002008,P001988,W004,413,248,165,41,In Stock,2026-04-05 02:36:45,
INV004987,P007349,W008,271,257,14,40,Low Stock,2025-08-01 09:16:15,
INV009577,P003383,W009,183,4,179,77,In Stock,2025-01-01 18:37:37,
INV000777,P006246,W010,62,55,7,39,Low Stock,2025-01-09 21:09:08,
INV000153,P002606,W004,311,180,131,38,In Stock,2026-04-28 06:15:00,
INV017397,P008125,W010,240,27,213,89,In Stock,2025-03-21 04:22:23,
INV016085,P001683,W008,104,65,39,61,Low Stock,2025-04-22 08:34:07,
INV009672,P008451,W009,97,5,92,35,In Stock,2025-03-31 13:09:00,
INV001709,P009492,W005,368,116,252,17,In Stock,2025-07-19 23:07:26,
INV006759,P007792,W010,292,178,114,71,In Stock,2025-12-02 21:28:10,
INV010498,P005319,W004,0,0,0,63,Out of Stock,2025-07-26 07:58:20,
INV004217,P009500,W001,255,216,39,46,Low Stock,2025-09-03 02:11:56,
INV016821,P001040,W008,220,72,148,61,In Stock,2026-02-26 01:45:53,
INV007309,P003986,W001,182,5,177,77,In Stock,2026-05-19 18:52:55,
INV014469,P005743,W001,247,146,101,60,In Stock,2026-03-12 02:05:47,
INV016945,P001463,W001,222,197,25,83,Low Stock,2025-04-30 20:20:19,
INV011698,P006462,W007,12,8,4,60,Low Stock,2025-01-15 23:56:42,
INV008024,P004354,W003,121,10,111,38,In Stock,2025-08-01 17:06:18,
INV017935,P003655,W001,75,19,56,71,Low Stock,2026-03-31 12:52:34,
INV002159,P004697,W006,385,75,310,89,In Stock,2025-03-05 03:41:05,
INV006740,P000469,W008,50,6,44,71,Low Stock,2026-06-16 22:16:06,
INV002012,P000954,W007,364,309,55,63,Low Stock,2026-07-12 21:52:38,
INV004905,P003454,W004,161,30,131,62,In Stock,2026-03-04 19:42:30,
INV014188,P007536,W001,373,364,9,42,Low Stock,2025-03-31 18:40:20,
INV004527,P008807,W007,212,80,132,44,In Stock,2025-10-28 23:15:41,
INV007177,P002906,W002,214,20,194,60,In Stock,2026-06-29 04:20:10,
INV011440,P007383,W008,240,131,109,50,In Stock,2025-09-05 14:12:48,
INV017264,P009795,W001,121,76,45,49,Low Stock,2025-10-23 07:06:12,
INV006567,P006136,W006,262,84,178,74,In Stock,2025-01-03 01:44:49,
INV015762,P009124,W010,165,132,33,65,Low Stock,2025-03-24 10:07:19,
INV015044,P009257,W007,273,14,259,76,In Stock,2026-04-18 21:46:57,
INV002508,P009336,W001,354,9,345,87,In Stock,2026-01-30 02:36:42,
INV016409,P007451,W008,469,338,131,47,In Stock,2026-07-13 14:26:22,
INV015106,P004136,W006,129,38,91,84,In Stock,2026-05-29 05:40:24,
INV014710,P006192,W001,404,236,168,100,In Stock,2025-06-05 06:49:18,
INV008164,P005912,W005,194,171,23,10,In Stock,2025-10-05 18:28:30,
INV018589,P008427,W010,296,114,182,69,In Stock,2025-10-26 19:42:09,
INV008225,P004260,W006,232,155,77,34,In Stock,2026-02-09 23:39:34,
INV010649,P000573,W009,462,367,95,22,In Stock,2026-05-26 12:30:15,
INV002633,P000983,W009,204,186,18,16,In Stock,2025-05-27 08:47:05,
INV011503,P006496,W005,427,307,120,29,In Stock,2025-05-05 20:31:03,
INV018005,P009592,W003,340,243,97,28,In Stock,2025-08-15 04:25:04,
INV010961,P004336,W004,485,282,203,86,In Stock,2026-06-11 11:29:13,
INV010108,P001287,W005,249,92,157,77,In Stock,2026-07-14 20:54:56,
INV001338,P005301,W007,417,73,344,44,In Stock,2026-06-27 22:28:19,
INV012930,P009629,W006,202,51,151,84,In Stock,2025-09-19 10:08:27,
INV002817,P008873,W001,364,294,70,12,In Stock,2025-02-19 05:17:23,
INV010928,P002618,W001,143,115,28,54,Low Stock,2025-06-21 05:10:20,
INV019251,P009296,W006,441,395,46,38,In Stock,2026-06-04 22:51:25,
INV013484,P003816,W005,418,321,97,18,In Stock,2025-05-22 21:16:05,
INV007910,P001213,W004,229,164,65,62,In Stock,2026-03-07 00:01:04,
INV018910,P002780,W007,405,157,248,66,In Stock,2025-10-18 06:03:08,
INV007216,P006232,W002,175,151,24,20,In Stock,2025-08-22 23:10:56,
INV003505,P001436,W010,196,103,93,69,In Stock,2026-05-01 09:31:42,
INV019078,P004206,W009,500,164,336,50,In Stock,2026-07-30 20:35:46,
INV017562,P002076,W001,415,29,386,39,In Stock,2025-10-03 17:55:24,
INV003581,P007715,W004,323,179,144,77,In Stock,2025-08-09 02:50:17,
INV015701,P006268,W004,235,48,187,64,In Stock,2026-05-12 16:19:10,
INV009069,P005268,W010,191,172,19,31,Low Stock,2025-03-20 09:19:04,
INV013799,P001400,W009,202,40,162,50,In Stock,2025-08-21 12:03:00,
INV007890,P001810,W003,258,108,150,91,In Stock,2026-02-09 18:27:56,
INV018071,P009271,W010,227,48,179,49,In Stock,2025-02-10 10:49:09,
INV007153,P002471,W009,198,62,136,16,In Stock,2025-06-15 03:37:10,
INV005838,P003476,W008,334,315,19,48,Low Stock,2025-05-17 01:43:10,
INV014030,P004270,W009,498,132,366,70,In Stock,2025-04-21 13:41:57,
INV007601,P000017,W005,71,25,46,58,Low Stock,2025-08-26 22:44:14,
INV010494,P004108,W008,23,5,18,81,Low Stock,2026-04-19 10:01:44,
INV019599,P003191,W006,116,50,66,23,In Stock,2025-11-26 19:27:02,
INV001732,P009458,W003,149,122,27,99,Low Stock,2026-07-24 16:22:15,
INV000387,P009400,W006,44,6,38,41,Low Stock,2025-05-10 04:46:27,
INV019598,P007000,W010,300,63,237,32,In Stock,2026-03-29 13:44:45,
INV016225,P000234,W005,192,190,2,23,Low Stock,2025-10-04 13:10:46,
INV017233,P002562,W007,75,75,0,14,Out of Stock,2025-07-03 13:38:10,
INV017810,P009138,W010,156,62,94,29,In Stock,2025-04-25 01:10:55,
INV019710,P007407,W007,251,235,16,57,Low Stock,2026-06-19 22:08:56,
INV015143,P008041,W003,57,18,39,13,In Stock,2025-12-28 00:45:04,
INV002119,P002210,W009,187,64,123,34,In Stock,2025-08-06 16:09:39,
INV010959,P005710,W003,377,102,275,38,In Stock,2026-03-13 03:00:49,
INV007588,P001821,W008,409,68,341,98,In Stock,2025-05-20 09:10:25,
INV019792,P005328,W008,59,56,3,13,Low Stock,2025-06-15 19:08:35,
INV015788,P008270,W005,399,226,173,23,In Stock,2025-10-15 05:00:11,
INV016763,P009859,W001,206,108,98,78,In Stock,2026-04-22 12:29:11,
INV015507,P004115,W006,78,8,70,45,In Stock,2025-09-17 13:16:54,
INV004866,P008287,W001,393,126,267,37,In Stock,2025-01-23 17:47:05,
INV008803,P003853,W009,458,334,124,12,In Stock,2026-07-13 16:37:30,
INV011713,P003500,W004,158,6,152,27,In Stock,2025-06-13 16:26:06,
INV013891,P007695,W010,406,104,302,90,In Stock,2025-09-07 03:05:37,
INV012332,P009519,W001,481,354,127,90,In Stock,2026-02-13 01:32:00,
INV011104,P001830,W002,21,9,12,84,Low Stock,2025-10-07 06:06:42,
INV004891,P005883,W010,4,0,4,21,Low Stock,2025-11-18 07:13:31,
INV019282,P006833,W010,378,338,40,36,In Stock,2025-06-22 11:03:10,
INV009574,P003704,W007,208,187,21,14,In Stock,2025-07-24 09:21:12,
INV017536,P007906,W004,275,83,192,73,In Stock,2025-07-31 14:42:47,
INV014454,P004188,W004,347,252,95,52,In Stock,2025-03-01 14:18:03,
INV005941,P001244,W001,163,78,85,19,Overstocked,2026-02-19 07:42:12,
INV010728,P006418,W005,133,10,123,17,Overstocked,2026-06-18 17:46:00,
INV005685,P002855,W010,227,62,165,27,In Stock,2025-01-21 00:55:23,
INV010685,P006300,W006,282,14,268,85,In Stock,2026-04-09 07:31:34,
INV017141,P001297,W005,198,198,0,14,Out of Stock,2026-02-14 08:28:18,
INV018391,P008338,W007,353,333,20,58,Low Stock,2026-04-13 16:35:24,
INV011390,P009596,W009,161,143,18,83,Low Stock,2025-03-03 21:39:30,
INV005072,P003895,W010,183,36,147,85,In Stock,2025-10-24 16:05:12,
INV009707,P005828,W005,413,17,396,85,Overstocked,2025-06-16 11:57:17,
INV003487,P001269,W003,297,173,124,82,In Stock,2026-05-14 08:01:43,
INV015632,P004637,W006,371,231,140,100,In Stock,2025-03-11 08:23:29,
INV000620,P006605,W009,13,-20,5,57,Low Stock,2026-01-31 03:31:07,invalid_reserved_quantity
INV012821,P001159,W009,179,77,102,88,In Stock,2026-06-29 05:00:22,
INV008119,P004799,W004,394,6,388,36,Overstocked,2025-06-02 07:19:31,
INV006184,P004568,W006,264,233,31,66,Low Stock,2025-10-25 20:44:13,
INV012393,P002289,W008,235,96,139,100,In Stock,2026-02-24 06:23:11,
INV001856,P006724,W008,145,10,135,25,In Stock,2025-10-13 03:19:00,
INV006981,P006092,W008,415,141,274,82,In Stock,2025-12-18 11:22:01,
INV014045,P002860,W005,370,231,139,11,Overstocked,2025-02-24 00:52:02,
INV019457,P000339,W004,0,0,0,68,Out of Stock,2026-01-10 09:01:27,
INV002032,P004040,W006,462,198,264,43,In Stock,2025-07-24 17:03:53,
INV014966,P002749,W008,285,16,269,16,In Stock,2025-05-01 13:47:12,
INV013411,P008445,W002,157,53,104,58,In Stock,2026-04-26 05:49:47,
INV003439,P005696,W005,6,1,5,55,Low Stock,2026-02-21 08:59:54,
INV004260,P002782,W008,154,122,32,43,Low Stock,2025-11-07 00:29:50,
INV011957,P002271,W005,304,112,192,57,In Stock,2025-07-20 10:30:30,
INV007631,P006398,W001,252,246,6,43,Low Stock,2025-04-01 21:25:36,
INV009293,P000798,W006,271,239,32,75,Low Stock,2026-02-23 14:09:35,
INV005755,P005624,W003,469,53,416,77,Overstocked,2025-08-04 11:32:25,
INV006308,P008501,W003,375,96,279,24,In Stock,2025-03-15 18:44:18,
INV013666,P001854,W002,470,217,253,39,Overstocked,2025-08-01 21:25:36,
